URI,name,text
"<http://dbpedia.org/resource/Nathan_Runkle>","Nathan Runkle","nathan runkle born c 1984 is an american animal rights advocate nathan runkle is the founder and executive director of mercy for animals raised on a farm in rural ohio nathan has long had a deep connection with farmed animals after a local farmed animal abuse case involving a piglet slammed headfirst into a concrete floor during an agriculture project at a nearby high school nathan founded mercy for animals to give food animals a muchneeded advocate in his local communitysince founding mercy for animals over a decade ago nathan has overseen the organizations growth into a leading national force in the prevention of cruelty to farmed animals and promotion of compassionate food choices and policiesa nationally recognized speaker on animal advocacy factory farming and veganism nathan has presented at colleges conferences and many other forums from coast to coastthrough his work with mfa nathan has been an outspoken advocate for animal rights featured in hundreds of newspaper television and radio interviews including on abcs world news with diane sawyer nightline 2020 cnn and national public radio and in usa today the new york times the los angeles times and the chicago tribunenathan works closely with mfas diverse group of members supporters and employees to oversee develop and fulfill objectives within the organizations four areas of focus education legal advocacy corporate outreach and undercover investigationsnathan has worked alongside elected officials corporate executives heads of international organizations professors farmers celebrities and film producers to pass landmark farmed animal protection legislation raise public awareness about vegetarianism and implement animal welfare policy changesvegnews magazine has recognized both mercy for animals and nathan for making substantial contributions to the vegetarian movement naming nathan one of the 25 most fascinating vegetarians and one of the countrys top 20 activists under 30 years old and twice naming mfa nonprofit of the year in 2009 at the age of 25 nathan became the youngest person ever inducted into the us animal rights hall of famerunkle is one of several people who provided information used in the writing of the book striking at the roots a practical guide to animal activism 2008 by mark hawthorne also he is one of several people who provided information used in the writing of the book uncaged top activists share their wisdom on effective farm animal advocacy 2013 by ben davidow"
"<http://dbpedia.org/resource/Isabel_Allende_(politician)>","Isabel Allende (politician)","isabel allende bussi born january 18 1945 in santiago de chile is a chilean socialist party politician and the daughter of former president of chile salvador allende and his wife hortensia bussi from 1994 to 2010 she was a deputy and in march 2010 she became a senator for the atacama region on 28 february 2014 allende was selected as president of the senate as of 11 march 2014 making her the first woman president of the body in chilean historyshe went to the maisonette college and unlike her sisters was initially attracted to the catholic church and received her first communion in 1962 at the age of 17 she began studying sociology and joined the universitys socialist brigade five years later she accompanied her father to the congress of the socialist party in chile her first marriage with sergio meza son of gonzalo meza allende did not last long but they had a son gonzal with her second husband romilio tambutti she had a daughter named marciaon 11 september 1973 the day of the military coup led by general augusto pinochet isabel was the last person to enter the presidential palace but after the military begin to bomb the presidential palace and the outcome was already clear her father ordered the women to leaveisabel obtained political asylum in mexico with her mother and sister where she spent sixteen years in exile before returning to chile in 1989 in the final stretch of the military regimeon returning to her homeland isabel began a successful political career after chiles return to democracy in 1990 she was elected as an mp presiding over the house between 2003 and 2004 becoming the second woman to head this legislative body after adriana muoz"
"<http://dbpedia.org/resource/Hunegnaw_Mesfin>","Hunegnaw Mesfin","hunegnaw mesfin born 31 january 1989 in gojjam amhara region is an ethiopian longdistance runner who competes in cross country and track running events he has represented his country at the iaaf world cross country championships and won medals in the senior and junior team categoriesmesfin won his first major medal at the 2007 african junior championships in athletics taking the 10000 metres silver medal behind kenyas mathew kisorio his first year of global competition came in 2008 he was eleventh in the junior race at the 2008 iaaf world cross country championships a performance which helped ethiopia to the team silver medals he just missed out on a medal at the 2008 world junior championships in athletics finishing fourth behind fellow ethiopian ibrahim jeilan he competed for ethiopia at the international chiba ekiden and won his race stage helping the national team to the title he ended the year with a third place finish at the inaugural bahir dar cross countrymesfin started 2009 with a win at the sululta cross country in the junior section he competed as a senior at the 2009 iaaf world cross country championships however and his tenth place performance brought the ethiopian men second place in the team rankings he began to compete on the senior european cross country circuit at the end of that year and took a significant victory at the cross internacional zornotza in january 2010 coming out on top of a photo finish with gebre gebremariam the reigning world champion he celebrated his 21st birthday with a second high profile victory this time at the cinque mulini in spite of these performances he failed to match his placing of the previous year at the 2010 iaaf world cross country championships where he ended the race in the nineteenth place as ethiopia took the bronze behind kenya and eritreahe gave a strong performance at the jan meda cross country in february 2011 surprising the more established imane merga with a burst of speed to win his first national senior title however it was his compatriot who took the title at the 2011 iaaf world cross country championships while mesfin faded in the latter stages and came eighth although he and imane led the ethiopians to second in the team rankings he began to compete on the european road circuit that year and was third at the giro media blenio 10k in april setting a time of 2833 minutes he ran a 5000 m personal best of 133892 minutes at the athletissima meet in june and made his debut over the half marathon at the udine half marathon coming sixth in a time of 10200 hoursat the cross zornotza in 2012 he took third placehis 20112012 cross country season began with a third place finish at the cross de atapuerca"
"<http://dbpedia.org/resource/Hanna_Gabriel>","Hanna Gabriel","hanna gabriel valle alajuela costa rica january 14 1983 is a costa rican boxer junior middleweight category whose career has been highlighted by several international victoriesgabriel is the daughter of yolanda valle moreno and lesslie gabriel binns a promising boxer who qualified for the olympic games in moscow 1980 but was unable to attend she has one brother windell who played football in the costa rican primera divisinshe debuted in the gimnasio nacional san jose costa rica on november 17 2007 fighting nicaraguan aoska xochilet herrera and defeating her by koon december 19 2009 gabriel won the world boxing organization wbo welterweight 147 pounds world championship against argentine gabriela zapata by technical knockout during the fourth round the fight took place in the dennis martinez stadium managua nicaragua and was part of an evening in posthumous tribute to triple world champion alexis arguello el flaco explosivo considered as one of the greatest boxers of all timeon january 14 2010 just over a month after that victory she renounced the title after suffering several blackouts due to her diet her correct category is middleweight and for the aforementioned competition shed had to lose weight by not eating carbson may 29 2010 gabriel defeated the dominican gardy pena in bayamn puerto rico to win the world boxing organization wbo junior middleweight 154 pounds world champion title in a fight that lasted only 11 secondson january 11 2011 hanna won by tko technical knockout to retain the world championship title against her rival melisenda prez her cousin andrs caldern was present for the fight and was noted as part of her motivation to win in a following interviewon march 31 2011 hanna fought and defeated melisenda prez once again while defending her world championship title during the inauguration acts of costa ricas new national stadium in front of 14000 attendees it took hanna seven rounds to defeat her rival by knockouton february 28 2013 she lost her world championship title to oxandia castillo by a knockout in the 2nd round"
"<http://dbpedia.org/resource/John_Boswell_Maver>","John Boswell Maver","john maver born 1932 is an australian pianist and composermaver was born in sydney where he studied the piano first under miss purcell of botany bay then with kathleen horne and ramsay pennycuick as a student of the nsw conservatorium of music he studied piano with the noted pianistcomposer frank hutchens a pupil of tobias matthay and composition with raymond hanson in sydney he performed on radio 2ch gave recitals and taught before sailing for london in 1968since then he has given a wide range of concerts including the wimbledon summer festival leighton house and a muchpublicised 1981 royal wedding day concert at st martinwithinludgatehe is one of the very few composerpianists on the circuit today in addition to a wide repertoire of neoclassical music and virtuoso romantic music he has established a considerable reputation with the performances of his own compositions as well as his own poetry albion enigma and he has presented concerts of extemporised keyboard workhe has worked with ballet rambert the royal ballet arts educational schools and the mime artists adam darius and nathaniel he was also musical director of the international arts centreparticipating in an american production pantomime of hansel and gretelmaver returned to australia for two years sojourn where he continued to give recitals most notably for the polishaustralian cultural society which was filmed and performances at the sydney opera house with the australian ballet and the english dancer maina gielgud for a television film frozen music he also appeared in the sydney spectacular for the australian broadcasting commission at the same time he made himself known as an actorappearing in tv series commercials and feature filmschief among which have been bodyline the last bastion playing opposite timothy west land of hope and burke and willsin the role of conductor an operatic sequence with greta scacchireturning to britain in 1986 maver resumed his career with a performance of his toccata australis a substantial work which has been well praised by many international pianists including vladimir horowitz nelson friere and shura cherkassky this work was first performed in britain by alan brown the american virtuoso pianist janice weber has praised several of mavers compositions as very horowitzian an tude for the left hand alone as very effective sounds as difficult as it is he has recorded a programme of bach beethoven chopin and franz liszt in addition to his own compositions and extemporisationsan unpublished novel has been completed he has established himself as a photographer in the casual style and has exhibited a collection of photos charting the rebuilding of part of the arts educational schools theatre in chiswick recently a london photo agency has accepted some of his photographic work to be included in their catalogue photographs have featured in the local press musical theatre pantomime programmes spotlight cd record covers and the kyoto gardens exhibition portfoliohe is related to sir harry lauder the scots baritone music hall singer and composer"
"<http://dbpedia.org/resource/Nicholas_Doumanis>","Nicholas Doumanis","nicholas doumanis is an historian of europe and the mediterranean world born in australia in 1964 he studied at the university of sydney and the university of new south wales where he acquired his phd he has lectured in european history at macquarie university and the university of newcastle and is currently an associate professor of history at the university of new south wales he is a former editor of the journal of religious history a recipient of the stanley j seeger fellowship at princeton university and an australian research council fellow at the university of sydneydoumanis was awarded the uk fraenkel prize for myth and memory in the mediterranean he has since published italy inventing the nation which was translated into italian by il mulino press una facia una razza and more recently a history of greece covering the span of paleolithic to contemporary greece his latest book isbefore the nation with oxford university press nicholas is currently editing the oxford handbook of europe 19141945 and writing a history of the eastern mediterranean from the bronze age to the present for wiley blackwell in its history of the world series doumanis is a member of the australian committee for the restitution of the parthenon marbles"
"<http://dbpedia.org/resource/John_Bellamy_Foster>","John Bellamy Foster","john bellamy foster born august 15 1953 is a professor of sociology at the university of oregon and also editor of monthly review his writings focus on the political economy of capitalism and economic crisis ecology and ecological crisis and marxist theory he has published over one hundred magazine articles and dozens of peerreviewed academic articles written and edited over a dozen books given over one hundred conference papers and invited lectures all around the world and received numerous awards and honors his work is published in at least twentyfive languages since the great financial crisis hit in 2008 foster has been sought out by academics activists the media and the general public as a result of his earlier and continued writings on the current and coming crises he has given numerous interviews talks and invited lectures as well as written invited commentary articles and books on the subjectfoster often collaborates with robert w mcchesney most recently foster and mcchesney coauthored the endless crisis how monopolyfinance capital produces stagnation and upheaval from the usa to chinaother recent books include the great financial crisis causes and consequences and what every environmentalist needs to know about capitalism both with fred magdoff the ecological rift and critique of intelligent design materialism versus creationism from antiquity to the present both with brett clark and richard york and the ecological revolution making peace with the planet"
"<http://dbpedia.org/resource/Aleta_Baun>","Aleta Baun","aleta baun is an awardwinning indonesian environmental activist she has been described as the indonesian avatarshe won the 2013 goldman environmental prize for organizing hundreds of local villagers to peacefully occupy marble mining sites in weaving protests to stop destruction of sacred forest land on mutis mountain on the island of timora leader of indigenous mollo people she was born to a family of farmers having lost her mother at a young age she was raised by other women and elders in the village who taught her to respect the environment as a source of their spiritual identity and livelihood as a community leader sharing traditional knowledge she eventually became known as mama aleta mama aletas work made her a target for the mining interests and local authorities who put a price on her head after surviving an assassination attempt mama aleta went into hiding in the forest with her babydespite intimidation mama aleta grew the movement to include hundreds of villagers it culminated in a weaving occupation where 150 women spent a year sitting on the marble rocks at the mining site quietly weaving their traditional cloth in protest because women were traditionally responsible for getting food dye and medicine from the mountains mining in these mountains would have directly impacted their livelihoods while the women protested at the mine the men provided domestic support at home cooking cleaning and caring for the childrenin the face of the villagers peaceful and sustained presence marble mining became an increasingly untenable endeavor for the companies involved public awareness of the weaving occupation was growing and indonesian government officials took notice by 2010 the mining companies reacting to the pressure halted mining at all four sites within the mollo territories and abandoned their operationsmama aleta now helps communities across west timor to map their traditional forests she works in water security and indigenous peoples natural resource management and land rights she said to the jakarta postwe especially want to conserve the upstream region of our territory because it is a watershed for the entire island we are considering a joint title for our three communities and placing the land under collective ownership of the communities"
"<http://dbpedia.org/resource/Edward_Leigh>","Edward Leigh","sir edward julian egerton leigh mp born 20 july 1950 is a british conservative politician and parliamentarianleigh has represented gainsborough lincolnshire in the house of commons as its member of parliament since 1997 and for its predecessor constituency of gainsborough and horncastle between 1983 and 1997 he served as chairman of the public accounts committee for 10 years between 2001 and 2010 investigating government waste and seeking value for money in government expenditure under his leadership the public accounts committee was responsible for saving the taxpayer over 4 billion sir edward stepped down at the end of the parliamentary session in 2010 as it is customary for a member of the opposition party to hold this postleigh was knighted in the 2013 birthday honours for public and political service and was dubbed the viscount in the house of commons in allusion to his landed gentry backgroundleigh has earned a reputation for opposing abortion and genetic research on religious grounds he also defended section 28 which barred local authorities from promoting the teaching in any maintainedschool of the acceptability of homosexuality as a pretended family relationship leigh himself was an opponent of the civil partnership act 2004 and voted against it in parliament at its second reading once passed leigh proposed an amendment to the act to extend the property and pension rights afforded by civil partnerships to siblings who had lived together for more than 12 years this was opposed by many backers of the initial bill such as fellow conservative mp sir alan duncan who considered it a wrecking amendmenta veteran backbencher leigh was encouraged to challenge for the speakership of the house of commons and after the 2010 general election for one of the deputy speakerships but chose not to pursue this ambition for the time being since parliamentary convention precludes members of the governing party being elected to such high office unless already in situ described as an intelligent but prankish and unpredictable radical rightwing intellectual and a tory rebel leigh does not hesitate to go against the leadership of his party for his own principles he speaks regularly in the house of commons mainly on civil liberties constitutional ecclesiastical and economic matters"
"<http://dbpedia.org/resource/Amos_Biwott>","Amos Biwott","amos biwott born september 8 1947 is a former kenyan longdistance runner winner of the 3000 m steeplechase at the 1968 summer olympicsborn in nandi kenya amos biwott was the first of long line of kenyan runners who had starred the 3000 m steeplechase ever since biwotts surprising win at the mexico city olympics and pioneered the black africas dominance at the longdistance runningbiwott hadnt run many steeplechase races before the olympics only three of them and his technique was not the best using a then comically rustic hurdling style he was the first man to have the courage not to place one foot on the barrier and spring off but cleared the whole obstacle in one gigantic effort and in so doing reduced the customary clearance time of 11 seconds by half he was the only runner who made it across the finish line with completely dry feet in both the olympic qualifying heat and the final which he won by 06 seconds ahead of compatriot benjamin kogoafter this golden moment biwotts athletics career went slowly downward he finished third at the 1970 commonwealth games was sixth at the 1972 summer olympics and finished his career with an eighth place at the 1974 commonwealth gamesafter his athletics career biwott worked the kenya prisons service until his ignominious departure in 1978 when he was prosecuted for theft after that he was a watchman at the stadiumhe is married to cherono maiyo who competed at the 1972 summer olympics and was one of the first kenyan females to participate at the olympics they married in 1973 and have five children"
"<http://dbpedia.org/resource/Charlie_Corwin>","Charlie Corwin","charlie corwin is cochairman and coceo of endemol north america corwin an awardwinning film and tv producer previously led the production company original media as ceo and cofounder while there corwin led development of some of the uss most successful tv series and formats as well as critically acclaimed box office successes in television corwin is widely considered an innovator for his creation of subculture specific docuseries such as miami ink tlc and its popular spinoffs la ink and ny ink as well as the breakout success swamp people history along with kevin smith he cocreated comic book men amc about fanboy culture he also cocreated and executive produced storm chasers discovery and the rachel zoe project bravo in 2009 he cocreated the scripted drama the philanthropist for nbc with tom fontana and jim juvonencorwin has produced numerous feature films that have been nominated for a total of 14 spirit awards 3 golden globes and 2 academy awards among them the squid and the whale half nelson a guide to recognizing your saints august twelve and sunlight jr corwin along with cris abrego cochairman and coceo of endemol north america now oversees a portfolio of companies including unscripted powerhouse endemol usa home of the longest running unscripted format big brother cbs awardwinning competition series wipeout abc and emmy awardwinning syndicated daytime series steve harvey nbcu endemol studios endemols scripted studio operation whose portfolio of primetime onehour dramas include hell on wheels amc kingdom directv and a diverse slate of sold dramas at 13 top cable and digital distribution channels authentic entertainment here comes honey boo boo original media ink master and true entertainment the real housewives of atlanta as well as core media group overseeing their development and production operation and roster of properties which include through simon fullers core mediabased 19 entertainment music competition series american idol fox so you think you can dance fox and sharp entertainment man vs food travel channelendemol acquired a majority stake in original media in november 2007 after which corwin remained as ceo and continued to grow the businesshe began his career at the internet startup live music channel which was a pioneer in video streaming and a leading provider of live concert performances for television and the internet as cofounder and president he grew up in manhattan new york he has a ba degree from the university of wisconsin and law degree from new york university school of law he resides in los angeles california with his wife and two children"
"<http://dbpedia.org/resource/Aslie_Pitter>","Aslie Pitter","aslie pitter mbe is a british footballer who founded stonewall fc britains first and most successful gay football club in 1991 for his work in combating homophobia he was appointed a member of the order of the british empirepitter grew up in balham south london his parents vincent and evelyn were jamaican immigrants pitter realised at the age of 10 that he was gay and dealt with homophobic abuse from his schoolmates he has played football since his youth for a number of amateur clubs he was chosen to play midfield for the sutton united youth team and had a trial at wimbledon while playing for clapham old boys he suffered racism from other players and was demoted from the first team to the fourth team after one of his teammates found out that he was gay observing that they wanted him gone pitter quit in 1991 after seeing a listing in time out he joined a group of gay men playing football in regents park this became stonewall fc the first gay football club in britainin november 2010 he was informed that he would be appointed a mbe for his work against homophobia in london his father died shortly after before the new year honours list was made public in december pitter collected his mbe from buckingham palace on 8 february 2011 accompanied by his sister his fianc and his motherinlaw he was conferred with an honorary doctorate by the university of east london in 2011pitter currently lives in balham with his fianc alan whom he plans to marry now that he has received his mbe and works as an assistant manager at boots he plays for and manages stonewall fcs second team"
"<http://dbpedia.org/resource/Steven_Ferguson>","Steven Ferguson","steven sean ferguson born 8 may 1980 is a sprint canoeist surf lifesaver and former swimmer from new zealandferguson was born in auckland new zealand the son of fourtimes olympic gold medal winning canoeist ian fergusonsteven ferguson competed in the 100 m and 200 m breaststroke at the 2000 summer olympics in sydney but did not pass the qualifying heats he also competed in swimming at the 1998 commonwealth games he represented new zealand in canoeing at the 2004 summer olympics in athens he finished eighth in the k2 1000m event but was eliminated in the heats of the k1 500 m event he competed again in the k2 1000 m at the 2008 summer olympics in beijing with mike walker finishing fifth he also competed in the k1 500 m final finishing eighth at the 2012 summer olympics he teamed with darryl fitzgerald to competed in the k2 1000 m they reached the final and finished 7thhe is also involved in surf lifesaving and belongs to the new zealand national team which competed at world lifesaving championships 2004 in viareggio italy and 2006 in melbourne australia at these events he won medals in the pool swimming and surf ski paddle events"
"<http://dbpedia.org/resource/Carsten_Juste>","Carsten Juste","carsten juste born 6 july 1947 is a danish journalist and former editorinchief of jyllandsposten a danish largecirculation newspaperjuste started out his career in 1979 as a trainee with jyllandsposten he was its editorinchief from january 2003 until the end of april 2008 juste was embroiled in the controversy following the papers september 2005 publication of several cartoons depicting the islamic prophet muhammad in one comment juste stated we will not apologise because we live in denmark under danish law and we have freedom of speech in this country if we apologised we would betray the generations who have fought for this right and the moderate muslims who are democratically mindedjuste claimed the international furor over the cartoons amounted to a victory for opponents of free expression those who have won are dictatorships in the middle east in saudi arabia where they cut criminals hands and give women no rights juste told the associated press the dark dictatorships have won danish police thwarted threats on the life of juste and jyllandsposten staff membersin another comment juste admitted that the 12 cartoons one of which depicted muhammad wearing a bombshaped turban had caused serious misunderstandings carsten juste said the 12 cartoons were not intended to be offensive nor were they at variance with danish law but they have indisputably offended many muslims for which we apologise"
"<http://dbpedia.org/resource/Joseph_Urgo>","Joseph Urgo","joe urgo is interim provost at the university of north carolina asheville a former senior fellow with the association of american colleges and universities dr urgo served as president of st marys college of maryland from 20102013 dr urgo served as dean of faculty at hamilton college 20062010 and chair of the department of english at the university of mississippi 20002006 he rose through the faculty ranks at bryant university 19892000 and held a mellon postdoctoral fellowship at vanderbilt university 19861989 dr urgo has a phd from brown university in american civilization an mals from wesleyan university and a ba from haverford collegedr urgo has supported broad access to education in the liberal arts and sciences speaking and writing often on issues of access and affordability joe and lesley urgo have been strong advocates for the natural beauty of the campus and under lesleys volunteer efforts established the st marys college arboretumurgo created mississippis first mfa program he also earned a grant for the university from the mississippi humanities council for a creative writing program at marshall county corrections facility for the spring term 2009 urgo was acting president at hamilton college in central new york from 20062010 he served as chief academic officer at hamilton leading all academic programs and services he coordinated hamiltons campuswide strategic planning process and created the position of associate dean for diversity initiativesurgos research interests focus on the works of 20thcentury american novelists and writers william faulkner and willa cather he has published six books the most recent being reading faulkner absalom absalom 2010 university press of mississippi coauthored with noel polkhe serves as an advisory member on the board of governors of the willa cather pioneer memorial and educational foundation as a coeditor of the faulkner journal and on the editorial board of the willa cather newsletter and review he was also formerly an advisory editor of college literature"
"<http://dbpedia.org/resource/Viliami_Toluta\'u>","Viliami Toluta\'u","asipeli havea viliami tolutau born 1951 is a sculptor and a professor of sculpture at brigham young universityhawaiitolutau attended high school at liahona high school in tonga he then went to study at byuhawaii he then went on to earn an mfa from brigham young university in provo utah in 1983 he has been on byuhawaiis art faculty since 1991among works by tolutau is the statue of george q cannon and jonathan napela at byuhawaii that was unveiled as part of the 1997 mormon pioneer sesquecentennial celebration he also did a statue depicting finau ulukalala feletoa iis 1807 encounter with writing for liahona high school he also did the sculpture mamalahoe that is at the windward oahu courthouse he has also done sculptures for several elementary schools in hawaiiamong those who have studied sculpture under tolutau are steven k sperry and jacob dobsontolutau also did the sketch art for tuku fonua the land given to god a byuhawaii produced film that was done on commission from the government of tongain 2007 tolutau cochaired along with tavita kaili the centennial celebration of the lds church in tonga this was sponsored by the uho o tonga historical society the mormon pacific historical society and the mormon historic sites foundationtolutau is a latterday saint he has been a bishop in the lds church"
"<http://dbpedia.org/resource/Sergio_Ram%C3%ADrez>","Sergio Ram%C3%ADrez","sergio ramrez mercado born august 5 1942 in masatepe nicaragua is a nicaraguan writer and intellectual who served in the leftist government junta of national reconstruction and as vice president of the country 19851990 under the presidency of daniel ortegaborn in masatepe in 1942 he published his first book cuentos in 1963 he graduated from the universidad nacional autnoma de nicaragua of len in 1964 where he obtained the gold medal for being the best studentin 1977 ramrez became head of the group of twelve a group of prominent intellectuals priests businesspeople and members of civil society who publicly stated their support for the frente sandinista de liberacin nacional fsln in its struggle to topple the dictatorship of anastasio somoza debayle with the triumph of the revolution in 1979 he became part of the junta of the government of national reconstruction where he presided over the national council of education he was elected vicepresident of nicaragua in 1984 and was sworn in 1985though the fsln lost power to the uno coalition headed by violeta barrios de chamorro in 1990 ramrez continued to serve as the leader of the sandinista block in the national assembly until 1995 when he founded the movimiento de renovacin sandinista mrs because of his differences with other leaders of the fsln such as former president daniel ortega on issues of democratic reform he has since become retrospectively critical of certain sandinista policies that he views as having turned the country against the fsln he made an unsuccessful bid for president on the mrs ticket in 1996 since then ramrez has retired definitively from politics he currently lives in managua nicaraguahe married his wife gertrudis tulita guerrero mayorga in 1964 he has three children sergio maria and dorel and 6 grandchildren elianne carlos fernando camila alejandro luciana and andreseven during his years in politics ramrez continued to publish his work for which he has won numerous awards and distinctions"
"<http://dbpedia.org/resource/Miguel_%C3%81ngel_Prieto>","Miguel %C3%81ngel Prieto","miguel ngel prieto adanero born september 20 1964 is a race walker from spain who represented his native country at the 1992 olympic games in barcelona spain where he came tenth overall he was a fourtime spanish indoor champion in the 5000 m walk and won the outdoor 20 km national title in 1990prieto was born in segovia and made his international debut at the 1983 european junior athletics championships placing fifth in the 10000 m walk he came seventh in the 20 km race walk at the 1985 iaaf world race walking cup then went on to win a bronze medal in the event at the 1986 european athletics championships he established himself as one of spains leading walkers competing at the world championships in athletics in 1987 and 1991 prieto won his second international medal at the 1989 summer universiade where he was the silver medallist in the 20 km walk behind italys walter arena he came 13th at the 1990 european athletics championships and finished one place lower than that at the 1991 iaaf world race walking cuphe made a competitive return at the age of 46 at the 2011 european race walking cup he managed 14th place in the 50 km event"
"<http://dbpedia.org/resource/Nick_Sterling>","Nick Sterling","nicholas james sterling born july 18 1990 is a guitar player and songwriter from mesa arizona he started learning guitar at the age of 7 years old by the age of 10 he had released his first cd ten at age 10 he shared a stage with alice cooper at a new years eve concert when he was 13 guitarist dave mason expressed admiration for his talent in 2005 he released his second cd life goes on sterling played all the instruments did the vocals and recorded both cds himself his third album invisible was released in 2010sterling has played with quite a few famous rock musicians and bands including aerosmith kid rock cheap trick cinderella steve vai joe satriani eric johnson gary hoey peter frampton gavin degraw bachmanturner overdrive jackyl sebastian bach and guns n rosessince 2008 he has been a columnist for modern guitars magazineon october 12 2009 sebastian bach announced that after a long search he has chosen sterling to be his new guitar player sterling joined bach on stage for the first time in helsinki finland on december 12 2009 when they opened for alice cooperon august 13 2012 nick sterling was fired by bach after contractual disagreements over fair compensation of songs that nick and bach wrote together that would be performed by bach on axstv bach didnt bend bach also stated in a radio interview that nick was fired for personal reasons involving ongoing disagreements"
"<http://dbpedia.org/resource/Don_Cahoon>","Don Cahoon","don toot cahoon is a retired american ice hockey coach he was the head coach of the princeton tigers when they won their first conference tournament championship in 1998 for almost 40 years cahoon worked behind the bench of various collegiate hockey programs reaching the ncaa tournament twice as a head coachcahoon start in collegiate hockey came as a player for boston university starting three seasons for the terriers typical as freshman did not play varsity at the time which included backtoback national championships in 1971 and 1972 after graduating with a bs in education cahoon continued his playing career for one more season lacing it up for seven games for the new england blades of the ehl the leagues last year in operation cahoon began his coaching career the following season leading lehigh university club team to the 197374 midatlantic conference titleafter a successful campaign his first time out cahoon joined the staff at his alma mater becoming an assistant at bu under 2ndyear head coach jack parker cahoon enjoyed as much success as an assistant with the terriers as he had as a player winning three consecutive conference tournament titles three regular season titles and the 1978 national championship after five years as an assistant coach cahoon accepted the head coaching duties for the division ii norwich cadets in his three seasons at norwich cahoon led the cadets to the postseason each year while continuing the universitys strong hockey tradition after 198182 cahoon headed across the atlantic to become the head coach and direction of hockey operations for the vienna capitalscahoons european stint only lasted one season however and he was back as an assistant coach in college this time for massachusettslowell as they made the transition from dii into the division i ranks though not unexpected massachusettslowell grew progressively worse while cahoon was there and he left the university after his third season after a year off cahoon returned to bu for the second time spending a year as an assistant for jack parker before accepting a job as a pro scout for the minnesota north stars of the nhl cahoons second foray into professional hockey lasted only slightly longer than his first and he rejoined the terriers two years after he left for the second time during his third trip behind the bench for bu cahoon also served as the head coach for team usa at the 1991 world junior ice hockey championships leading the americans to a respectable 4thplace finishafter 1991 cahoon left boston university for good when he received his first divisioni head coaching job replacing jim higgins at princeton the tigers were one of the founding members of ecac hockey and in the thirty years prior to cahoons arrival they had a winning season only once in 196768 that trend continued for the early part of cahoons tenure but he was able to get the tigers heads above water with a plus500 campaign in 199495 after a lull the following year cahoon pushed princeton to three consecutive winning seasons including a conference tournament title in 199798 and its first 20win season the following year despite the success cahoon left the tigers after the 2000 season to take on the same role with massachusetts a team that had recently brought back its ice hockey program but had yet to see much successsimilar to how he had improved princeton cahoon took a couple of years to right the ship in amherst posting two 8win seasons before leading the minutemen to a 19win campaign in year three their first winning record since joining hockey east in 1994 cahoon continued to enjoy moderate success with umass for the next several seasons hovering around 500 and brought the minutemen to their first ncaa berth and win in 2007 behind the stellar goaltending of jonathan quick but the results started to turn bad in the second decade of the 21st century and cahoon agreed to resign from his post after the 201112 season cahoon ended with a 34540076 record as a head coach"
"<http://dbpedia.org/resource/Tania_Libertad>","Tania Libertad","tania libertad de souza ziga born 24 october 1952 better known as tania libertad is a peruvian singer who has lived in mexico since 1978 and mexican naturalized she is considered one of the best singers in the world music genre and one of the most popular artists of latin america tania has been named an ambassador for peace by unesco comendadora by the peruvian government a member of the order of rio branco by the brazilian government among many other recognitions to her legacy in the music world in 2009 she received the latin grammy lifetime achievement award for musical excellence to honor her brilliant career with more than 38 albums and sales of over 40 million copies her work has been hailed throughout the americas europe and africa she has performed successful concerts in france italy spain portugal belgium germany switzerland holland england morocco angola senegal the united states peru ecuador puerto rico venezuela the dominican republic honduras uruguay colombia costa rica guatemala panama el salvador argentina brazil and mexico in early 2012 she began celebrating 50 years as a performer with two soldout performances at the palacio de bellas artesmexico citys most prestigious concert halland began an extensive tour throughout latin americathe emotion her singing elicits is summarized by a beautiful quote from nobel prizewinning portuguese author jose saramagothe first time i heard tania libertad sing it was a revelation from on high from a place where only a naked voice might go alone in the world unaccompanied by any instrument tania was singing the rafael alberti composition la paloma a capella and each note touched a string in my soul until i was completely dazzled jos saramago during her career tania has shared the stage with other international artists such as mercedes sosa joan manuel serrat silvio rodrguez pablo milans alberto cortez len gieco juan carlos baglietto chico buarque gal costa alfredo zitarrosa cesria vora vicente fernndez juan gabriel miguel bos plcido domingo armando manzanero simn daz willie coln tito puente oscar chvez ivn lins ricardo cocciante soledad pastorutti marco antonio muiz soledad bravo amlia rodrigues susana rinaldi phil manzanera lucha villa and the group inti illimani among others"
